Team,1,2,3,4,5,6,7,8,9,R,H,E,Game,10,11,12,13,14,15,16,17,18,19
CIN,2,0,1,0,0,1,1,0,0,5,6,3,360408117,,,,,,,,,,
STL,0,0,0,3,0,0,1,1,2,7,11,2,360408115,,,,,,,,,,
ATL,0,0,4,0,0,0,0,0,0,4,5,0,360408115,,,,,,,,,,
HOU,0,0,0,0,0,0,0,0,4,4,9,0,360408108,,,,,,,,,,
MIL,3,1,0,0,0,0,0,2,-,6,7,0,360408108,,,,,,,,,,
MIN,0,1,0,0,0,1,0,1,0,3,6,1,360408107,,,,,,,,,,
KC,0,2,0,0,0,0,0,2,-,4,9,0,360408107,,,,,,,,,,
CHC,0,0,2,0,0,0,0,0,0,2,5,1,360408129,,,,,,,,,,
ARI,0,0,0,0,0,1,0,1,1,3,8,0,360408129,,,,,,,,,,
TEX,3,0,2,1,0,0,1,0,0,7,10,0,360408103,,,,,,,,,,
LAA,0,1,1,1,0,0,0,0,0,3,7,1,360408103,,,,,,,,,,
OAK,0,0,0,1,1,0,0,0,1,3,9,2,360408112,,,,,,,,,,
SEA,0,0,0,0,2,0,0,0,0,2,4,2,360408112,,,,,,,,,,
LAD,0,0,0,0,2,0,0,0,0,2,9,0,360408126,0.0,,,,,,,,,
SF,0,0,0,0,0,0,0,2,0,3,2,0,360408126,1.0,,,,,,,,,
BOS,0,0,3,1,3,1,0,0,0,8,11,1,360409114,,,,,,,,,,
TOR,2,0,2,0,0,0,0,0,0,4,7,1,360409114,,,,,,,,,,
NYY,1,1,0,4,2,0,0,0,0,8,13,1,360409106,,,,,,,,,,
DET,0,0,0,2,0,0,2,0,0,4,7,1,360409106,,,,,,,,,,
PIT,0,0,0,0,0,1,0,0,0,1,10,1,360409117,,,,,,,,,,
CIN,2,0,0,0,1,0,2,0,-,5,8,1,360409117,,,,,,,,,,
CLE,0,0,0,0,0,2,1,0,0,3,7,3,360409104,,,,,,,,,,
CHW,0,0,1,1,0,0,5,0,-,7,10,1,360409104,,,,,,,,,,
LAD,0,0,1,0,0,0,0,0,1,3,10,0,360409126,1.0,,,,,,,,,
SF,0,1,0,0,1,0,0,0,0,2,5,1,360409126,0.0,,,,,,,,,
HOU,2,0,1,0,3,0,0,0,0,6,9,0,360409108,,,,,,,,,,
MIL,0,0,1,0,2,1,0,0,0,4,8,2,360409108,,,,,,,,,,
STL,0,2,1,2,2,0,1,2,2,12,14,3,360409115,,,,,,,,,,
ATL,0,0,2,0,0,0,0,0,0,2,4,3,360409115,,,,,,,,,,
PHI,0,0,0,0,1,0,0,0,0,1,8,0,360409121,,,,,,,,,,
